Uniprot,Gene,WD score,Root WD score,minus_log10_pvalue,log2_FoldChange
RS19_HUMAN,RPS19,2.88,1.7,0.364517745,-0.780462301
RAN_HUMAN,RAN,7.4,2.72,0.36382315,0.997746558
DESP_HUMAN,DSP,5.8,2.41,0.363702663,-1.470041287
SMCR8_HUMAN,SMCR8,4.45,2.11,0.362546343,1.492052486
RPB1_HUMAN,POLR2A,4.08,2.02,0.362320154,1.304942449
PDIA4_HUMAN,PDIA4,0,0,0.36189057,0.619238236
WIPI2_HUMAN,WIPI2,1.71,1.31,0.360188993,-1.142396183
NSDHL_HUMAN,NSDHL,0,0,0.359753928,-1.02060847
L10K_HUMAN,C19orf53,0,0,0.358617588,0.731399992
CDV3_HUMAN,CDV3,0,0,0.357354545,0.599599646
S61A1_HUMAN,SEC61A1,1.19,1.09,0.355376397,1.015969726
MICA3_HUMAN,MICAL3,0,0,0.35465242,-0.526377624
RL23_HUMAN,RPL23,4.96,2.23,0.353718857,0.391973867
SF3B1_HUMAN,SF3B1,4.43,2.11,0.352031391,0.805897347
LARP1_HUMAN,LARP1,4.26,2.06,0.35030301,1.305063835
K319L_HUMAN,KIAA0319L,1.28,1.13,0.347087452,-0.786126815
GCN1_HUMAN,GCN1,3.01,1.73,0.346035258,-1.182871609
TBA1B_HUMAN,TUBA1B,6.04,2.46,0.345936338,0.296711724
RB11B_HUMAN,RAB11B,0,0,0.344215523,1.54451525
FACD2_HUMAN,FANCD2,5.56,2.36,0.343962971,0.827267857
MID51_HUMAN,MIEF1,9.13,3.02,0.343618778,0.984537329
NOC3L_HUMAN,NOC3L,5.03,2.24,0.34275552,0.940640108
KCRB_HUMAN,CKB,3.01,1.74,0.342518111,0.605283989
SPDLY_HUMAN,SPDL1,0,0,0.341738588,0.639008744
PHF6_HUMAN,PHF6,5.88,2.42,0.339660525,1.132166916
PEX1_HUMAN,PEX1,3.94,1.98,0.338404061,1.100688071
RPAP3_HUMAN,RPAP3,4.85,2.2,0.33834076,-1.089159936
HAUS6_HUMAN,HAUS6,5.59,2.36,0.335569456,1.285753022
RAB2A_HUMAN,RAB2A,0,0,0.335055818,-1.627405161
RS7_HUMAN,RPS7,23.97,4.9,0.333853748,-0.525080927
HXK2_HUMAN,HK2,6.07,2.46,0.333449105,-1.150594052
F91A1_HUMAN,FAM91A1,2.28,1.51,0.331208587,-1.220146407
SURF6_HUMAN,SURF6,5.5,2.34,0.328947106,1.205077333
UBP32_HUMAN,USP32,0,0,0.328041755,-0.646431425
DDX10_HUMAN,DDX10,0,0,0.327740518,1.041436957
,,,,,
NKAP_HUMAN,NKAP,0,0,0.32156066,0.877947214
AP3D1_HUMAN,AP3D1,6.27,2.5,0.321145022,0.433619925
DHX29_HUMAN,DHX29,1.47,1.21,0.320786251,1.014738143
IRS4_HUMAN,IRS4,9.08,3.01,0.320709365,1.32209304
TAOK1_HUMAN,TAOK1,0,0,0.319905288,0.47888619
G3BP1_HUMAN,G3BP1,0,0,0.319194638,-0.597518153
RFIP1_HUMAN,RAB11FIP1,4.91,2.21,0.318784564,1.009032052
DHCR7_HUMAN,DHCR7,0.68,0.82,0.317511722,-1.007535719
RBGPR_HUMAN,RAB3GAP2,3.02,1.74,0.316742086,-1.241575361
FERM2_HUMAN,FERMT2,6.54,2.56,0.313142571,0.675734838
MACF1_HUMAN,MACF1,4.33,2.08,0.313118749,-1.282230473
DDX3X_HUMAN,DDX3X,2.12,1.46,0.311287949,1.071289039
PTN13_HUMAN,PTPN13,8.26,2.87,0.310630787,1.11839406
1433E_HUMAN,YWHAE,1.95,1.4,0.309671456,0.803440562
SLK_HUMAN,SLK,5.43,2.33,0.308972722,1.211608683
PP1G_HUMAN,PPP1CC,0,0,0.305450182,-0.394285814
ALDOA_HUMAN,ALDOA,2.01,1.42,0.301250908,0.821669297
RL26_HUMAN,RPL26,6.49,2.55,0.301018887,0.405286225
RFIP5_HUMAN,RAB11FIP5,5.28,2.3,0.300754124,0.959807666
F135A_HUMAN,FAM135A,0,0,0.299811737,-0.870546269
S6A15_HUMAN,SLC6A15,4.45,2.11,0.299642101,0.528347915
TRY3_HUMAN,PRSS3,0,0,0.299338603,-1.08064889
IQEC1_HUMAN,IQSEC1,2.4,1.55,0.298797308,0.506637141
PHLB2_HUMAN,PHLDB2,3.21,1.79,0.29735322,0.951646841
RS12_HUMAN,RPS12,2.54,1.59,0.297073419,0.653321272
VP13C_HUMAN,VPS13C,19.51,4.42,0.294232807,1.254537342
AT2B4_HUMAN,ATP2B4,0,0,0.293986435,-0.302782886
PTN23_HUMAN,PTPN23,1.06,1.03,0.293397299,0.739403527
AL3A2_HUMAN,ALDH3A2,4,2,0.293107418,0.283275076
FUND2_HUMAN,FUNDC2,2.48,1.58,0.292692298,0.611496823
RAB43_HUMAN,RAB43,0,0,0.290701996,0.841247139
GEMI5_HUMAN,GEMIN5,4.86,2.2,0.290270085,-1.157414754
TBA1A_HUMAN,TUBA1A,0,0,0.289711268,-0.670084395
RL8_HUMAN,RPL8,4.42,2.1,0.288795344,0.89833863
PPIG_HUMAN,PPIG,8.64,2.94,0.287874771,0.908500647
WDR60_HUMAN,WDR60,3.5,1.87,0.287530572,0.85453193
FLNC_HUMAN,FLNC,0,0,0.286300322,-1.012776645
CDK5_HUMAN,CDK5,2.52,1.59,0.285236807,-0.410389882
NONO_HUMAN,NONO,0,0,0.28235921,-0.898940416
SC6A8_HUMAN,SLC6A8,0,0,0.281794937,0.677058742
RS15A_HUMAN,RPS15A,2.07,1.44,0.281705373,0.930246281
UTP20_HUMAN,UTP20,7.97,2.82,0.281362842,0.94183298
PDLI1_HUMAN,PDLIM1,3.87,1.97,0.280486382,0.777979017
SRPRB_HUMAN,SRPRB,0,0,0.279903863,-1.065782919
CHM2B_HUMAN,CHMP2B,3.25,1.8,0.278229534,0.811768598
MMTA2_HUMAN,MMTAG2,3.59,1.89,0.277230581,0.357522461
EFHD2_HUMAN,EFHD2,3.04,1.74,0.275814271,0.77197226
OSBL9_HUMAN,OSBPL9,0,0,0.275747418,-0.402952722
AGK_HUMAN,AGK,0,0,0.273426645,-0.919347991
HS105_HUMAN,HSPH1,4.86,2.21,0.2733558,1.082864845
CALX_HUMAN,CANX,6.81,2.61,0.272808053,0.915968013
PCKGM_HUMAN,PCK2,0,0,0.272216971,0.420458032
PCNT_HUMAN,PCNT,3.76,1.94,0.271628946,-1.098698574
WDR3_HUMAN,WDR3,1.5,1.22,0.270235576,-0.645338082
AKIP_HUMAN,AURKAIP1,0,0,0.269633076,0.999064008
GAPD1_HUMAN,GAPVD1,12.29,3.51,0.268478337,1.2446002
S12A7_HUMAN,SLC12A7,0,0,0.265462113,0.720758438
GGA3_HUMAN,GGA3,1.21,1.1,0.265320631,-0.663873948
ARFG1_HUMAN,ARFGAP1,2.79,1.67,0.265086286,0.768412284
OGT1_HUMAN,OGT,1.37,1.17,0.264239641,0.666033307
XPOT_HUMAN,XPOT,0.98,0.99,0.264005944,0.620778954
ADT3_HUMAN,SLC25A6,8.4,2.9,0.2635667,0.689949479
BUB1B_HUMAN,BUB1B,6.85,2.62,0.262976687,0.912277869
PYR1_HUMAN,CAD,6.41,2.53,0.262546626,0.770177769
UBA1_HUMAN,UBA1,1.55,1.25,0.262279585,0.509030684
CKAP5_HUMAN,CKAP5,6.13,2.48,0.260041507,1.195090864
NOTC2_HUMAN,NOTCH2,1.03,1.02,0.259783353,-0.769955617
RL35_HUMAN,RPL35,5.04,2.24,0.259421719,0.309316935
ZBTB1_HUMAN,ZBTB1,0,0,0.259413451,-0.334463935
NUDC_HUMAN,NUDC,3.13,1.77,0.259155742,-0.504271105
TOX4_HUMAN,TOX4,1.16,1.08,0.258469426,-1.004307849
RLA0_HUMAN,RPLP0,4.13,2.03,0.258307617,0.45217688
PLCH1_HUMAN,PLCH1,0,0,0.257323454,0.452950268
SDA1_HUMAN,SDAD1,3.11,1.76,0.256824875,1.113741401
UBP2L_HUMAN,UBAP2L,3.42,1.85,0.256503645,0.873549743
MRP5_HUMAN,ABCC5,0,0,0.255552453,-0.620009224
BCAS3_HUMAN,BCAS3,0,0,0.255141211,0.463454312
CH60_HUMAN,HSPD1,1.66,1.29,0.254111436,-0.77284609
PEX14_HUMAN,PEX14,1.41,1.19,0.253778337,-0.834207607
GCP60_HUMAN,ACBD3,3.55,1.88,0.252999078,0.872022245
H1X_HUMAN,H1FX,3.81,1.95,0.252949317,0.919267355
S4A7_HUMAN,SLC4A7,4.72,2.17,0.251361659,0.943089791
CDK12_HUMAN,CDK12,0,0,0.250432396,0.600527733
RS4X_HUMAN,RPS4X,3.77,1.94,0.250251282,-0.41301329
ANR11_HUMAN,ANKRD11,8.51,2.92,0.249226457,1.083295954
ADT2_HUMAN,SLC25A5,4.64,2.15,0.248992317,0.314284559
TRIPB_HUMAN,TRIP11,6.43,2.53,0.247054,1.054159128
EF2_HUMAN,EEF2,3.83,1.96,0.246642433,0.469508549
RS18_HUMAN,RPS18,3.44,1.86,0.244563798,0.606803378
NU153_HUMAN,NUP153,4.89,2.21,0.244429714,1.103869264
LIN54_HUMAN,LIN54,1.77,1.33,0.24407503,-0.530412746
MCCA_HUMAN,MCCC1,7.64,2.76,0.243134221,0.815683821
SND1_HUMAN,SND1,4.34,2.08,0.242861441,0.852129354
MARCS_HUMAN,MARCKS,1.04,1.02,0.242255432,-0.640993706
RPB2_HUMAN,POLR2B,3.46,1.86,0.239897122,-0.809693318
CHMP7_HUMAN,CHMP7,0,0,0.239144471,-0.58385374
JIP4_HUMAN,SPAG9,4.78,2.19,0.238678087,0.769211619
TBB4B_HUMAN,TUBB4B,6.21,2.49,0.238068372,0.404811199
SSRA_HUMAN,SSR1,1.48,1.22,0.237940351,0.906431978
NUMA1_HUMAN,NUMA1,2.26,1.5,0.236462735,-0.976626126
,,,,,
DNJC7_HUMAN,DNAJC7,0.91,0.96,0.234576105,-0.807925926
SGO2_HUMAN,SGO2,15.43,3.93,0.234236426,0.938860767
TNR6B_HUMAN,TNRC6B,7.04,2.65,0.233754589,0.450704371
PRP4B_HUMAN,PRPF4B,1.55,1.24,0.233252689,0.721932609
XRN1_HUMAN,XRN1,5.99,2.45,0.23273925,1.081739834
DCP1A_HUMAN,DCP1A,3.67,1.92,0.231936386,0.38197413
PGRC2_HUMAN,PGRMC2,3.54,1.88,0.231695131,-0.339291723
4ET_HUMAN,EIF4ENIF1,4.3,2.07,0.230857494,0.818626116
PHLP_HUMAN,PDCL,4.13,2.03,0.229386669,0.811383409
TIPRL_HUMAN,TIPRL,2.39,1.54,0.229147473,0.670581218
VIGLN_HUMAN,HDLBP,6.32,2.51,0.22898833,0.962327153
RL27A_HUMAN,RPL27A,3.31,1.82,0.228756889,0.307772702
EHBP1_HUMAN,EHBP1,6.02,2.45,0.226773824,0.523996893
UTRO_HUMAN,UTRN,6.92,2.63,0.226407164,1.181535697
RL32_HUMAN,RPL32,3.16,1.78,0.224243472,0.535927934
ZC11A_HUMAN,ZC3H11A,1.72,1.31,0.222375513,-0.70329473
M4K4_HUMAN,MAP4K4,1.1,1.05,0.221907125,0.735261173
RL26L_HUMAN,RPL26L1,9.04,3.01,0.221748434,0.779196265
TM109_HUMAN,TMEM109,0,0,0.221735022,0.46241446
TDRKH_HUMAN,TDRKH,4.79,2.19,0.221350178,0.340103893
RAD50_HUMAN,RAD50,2.52,1.59,0.220400972,-0.749822461
IF5_HUMAN,EIF5,2.47,1.57,0.220253159,-0.733652487
TIDC1_HUMAN,TIMMDC1,0,0,0.219348168,-0.393304549
RSBNL_HUMAN,RSBN1L,1.9,1.38,0.219060996,0.590048736
NU214_HUMAN,NUP214,17.95,4.24,0.2176977,0.611829254
STMN2_HUMAN,STMN2,0,0,0.215886087,0.56040897
GULP1_HUMAN,GULP1,0,0,0.214759551,0.599533321
NOP16_HUMAN,NOP16,5.97,2.44,0.214077154,0.634752945
SNP47_HUMAN,SNAP47,7.61,2.76,0.212927959,-0.563456313
RL6_HUMAN,RPL6,1.39,1.18,0.212543665,-0.690075017
OCRL_HUMAN,OCRL,2.44,1.56,0.212373529,-0.74273167
VP13A_HUMAN,VPS13A,4.48,2.12,0.212252514,-0.905204989
DCD_HUMAN,DCD,10.84,3.29,0.211743366,0.587661575
GPAT4_HUMAN,GPAT4,0,0,0.209694866,0.604875888
VAMP3_HUMAN,VAMP3,0.85,0.92,0.208516644,0.595155812
SYIC_HUMAN,IARS,0,0,0.208440555,-0.397822062
LPPRC_HUMAN,LRPPRC,0.99,1,0.201258709,-0.949126633
UBE4A_HUMAN,UBE4A,0,0,0.201060858,-0.580326668
RBM26_HUMAN,RBM26,1.15,1.07,0.200910139,0.573244359
C19L2_HUMAN,CWF19L2,0,0,0.199960365,0.324783469
PPIB_HUMAN,PPIB,0,0,0.199308919,0.462456253
PRDX1_HUMAN,PRDX1,2.83,1.68,0.197862599,0.304192369
EI2BE_HUMAN,EIF2B5,0,0,0.197852804,0.267970979
CHD2_HUMAN,CHD2,0,0,0.197477668,-0.33064204
RNZ2_HUMAN,ELAC2,0,0,0.196747349,0.486723378
SYMC_HUMAN,MARS,1.11,1.05,0.195614401,-0.474841916
AGAP1_HUMAN,AGAP1,5.74,2.4,0.195383732,0.581650176
ESYT1_HUMAN,ESYT1,5.04,2.25,0.194545745,0.759411578
PESC_HUMAN,PES1,5.89,2.43,0.19352229,0.545455369
KTN1_HUMAN,KTN1,6.02,2.45,0.191870212,-0.406358275
MYO10_HUMAN,MYO10,7.21,2.69,0.191848725,0.571410929
KPCD_HUMAN,PRKCD,1.53,1.24,0.191260217,-0.422164689
DHB12_HUMAN,HSD17B12,0,0,0.190999264,0.296099069
HSP7C_HUMAN,HSPA8,4.88,2.21,0.190724959,-0.554694062
MAP1B_HUMAN,MAP1B,4.82,2.2,0.190003849,0.873261074
SEC63_HUMAN,SEC63,0.92,0.96,0.189044246,-0.673915479
SLIT2_HUMAN,SLIT2,10.76,3.28,0.187950305,0.690047582
RHG23_HUMAN,ARHGAP23,0,0,0.185933769,0.26793252
ITB1_HUMAN,ITGB1,3.74,1.93,0.183196777,0.748306526
SRPRA_HUMAN,SRPRA,3.77,1.94,0.183076333,0.690794039
RBM39_HUMAN,RBM39,2.65,1.63,0.181731233,0.372391935
TIF1B_HUMAN,TRIM28,2.15,1.47,0.181456407,-0.431532746
EXD2_HUMAN,EXD2,5.34,2.31,0.180844145,0.272539019
RL14_HUMAN,RPL14,0,0,0.179580904,-0.258002971
IF4G1_HUMAN,EIF4G1,7.05,2.66,0.179404451,0.758032109
LONM_HUMAN,LONP1,2.32,1.52,0.177986498,0.484956202
AT1A1_HUMAN,ATP1A1,4.94,2.22,0.177138937,0.568290806
PUR4_HUMAN,PFAS,0,0,0.176456965,0.437150619
RB6I2_HUMAN,ERC1,4.9,2.21,0.176404963,0.768044958
LRC59_HUMAN,LRRC59,2.53,1.59,0.175262832,-0.407557254
SCRIB_HUMAN,SCRIB,1.33,1.15,0.174798866,-0.649289965
MAGD2_HUMAN,MAGED2,1.42,1.19,0.173894868,-0.525575878
RS2_HUMAN,RPS2,2.94,1.71,0.171295052,-0.385620609
FLNB_HUMAN,FLNB,7.38,2.72,0.170840179,0.609150881
PGK1_HUMAN,PGK1,0,0,0.170229815,-0.198175922
VEZA_HUMAN,VEZT,5.55,2.36,0.169346772,0.566904224
LAP2B_HUMAN,TMPO,4.45,2.11,0.169331767,0.318588857
NSA2_HUMAN,NSA2,2.46,1.57,0.169247122,-0.356461543
HS90A_HUMAN,HSP90AA1,4.37,2.09,0.169196377,0.685297372
KINH_HUMAN,KIF5B,0,0,0.169154899,-0.584280254
NCOR1_HUMAN,NCOR1,2.51,1.58,0.167557961,0.497498746
TBB5_HUMAN,TUBB,6.07,2.46,0.166099494,0.294522064
STIM1_HUMAN,STIM1,3.27,1.81,0.165168256,0.659208754
COR1B_HUMAN,CORO1B,3.41,1.85,0.16386126,0.46205679
TCRG1_HUMAN,TCERG1,0,0,0.163596538,0.430296448
TANC1_HUMAN,TANC1,4.48,2.12,0.163213963,0.471993548
LDHA_HUMAN,LDHA,7.61,2.76,0.163161567,0.5615618
ASPM_HUMAN,ASPM,3.42,1.85,0.161658079,0.446715313
METH_HUMAN,MTR,1.19,1.09,0.160247526,-0.737371373
CPSF3_HUMAN,CPSF3,5.69,2.38,0.159876957,0.542438723
VDAC2_HUMAN,VDAC2,1.19,1.09,0.159708784,-0.617586304
MDN1_HUMAN,MDN1,11.89,3.45,0.159275924,0.674451588
TUT4_HUMAN,TUT4,0,0,0.158641678,0.444372741
ACSL4_HUMAN,ACSL4,2.21,1.49,0.158325868,0.375769177
U520_HUMAN,SNRNP200,0.91,0.96,0.158234463,-0.470001689
CYB5_HUMAN,CYB5A,0,0,0.158145913,0.303738948
RL23A_HUMAN,RPL23A,4.5,2.12,0.15810788,0.200976222
ATPF1_HUMAN,ATPAF1,3.43,1.85,0.158018933,0.466262709
CBPC1_HUMAN,AGTPBP1,4.49,2.12,0.158010805,0.4672636
RS14_HUMAN,RPS14,2.69,1.64,0.157235892,-0.432638
TAP26_HUMAN,CCDC59,1.09,1.05,0.15619631,0.665928163
LCAP_HUMAN,LNPEP,1.69,1.3,0.156072033,0.418605085
COF1_HUMAN,CFL1,1.47,1.21,0.154411041,0.449178252
FLNA_HUMAN,FLNA,16.7,4.09,0.153250604,0.454475523
NISCH_HUMAN,NISCH,1.25,1.12,0.153248964,-0.539349202
ZO1_HUMAN,TJP1,0,0,0.152195644,-0.31960978
PDIA3_HUMAN,PDIA3,3.04,1.74,0.151712145,0.177433398
PHAR4_HUMAN,PHACTR4,0,0,0.151443637,0.397140335
MYH9_HUMAN,MYH9,6.37,2.52,0.151142176,0.58146941
DMD_HUMAN,DMD,0,0,0.151065639,0.494156484
RAPH1_HUMAN,RAPH1,3.79,1.95,0.150983618,-0.499565928
TAGL2_HUMAN,TAGLN2,3.9,1.98,0.150474663,0.317800354
SYNJ2_HUMAN,SYNJ2,2.84,1.69,0.150278271,0.378176443
AAAT_HUMAN,SLC1A5,3.97,1.99,0.150022391,0.349340895
PLD6_HUMAN,PLD6,5.86,2.42,0.149954316,-0.384489299
TCPG_HUMAN,CCT3,1.55,1.24,0.149445297,-0.435918076
CEPT1_HUMAN,CEPT1,0,0,0.148549705,0.346743998
ADDA_HUMAN,ADD1,0,0,0.148495951,-0.500430521
EZRI_HUMAN,EZR,2.43,1.56,0.148449331,-0.407249187
OSBL8_HUMAN,OSBPL8,0,0,0.14844169,0.34255991
IF4B_HUMAN,EIF4B,2.66,1.63,0.14758209,-0.485318298
CD99_HUMAN,CD99,0,0,0.146775082,0.278822893
LUZP1_HUMAN,LUZP1,39.59,6.29,0.14526185,0.233228707
TBC15_HUMAN,TBC1D15,3.97,1.99,0.144568844,-0.554523804
RL22_HUMAN,RPL22,0,0,0.144304624,-0.481855057
RL36_HUMAN,RPL36,3.19,1.78,0.144088363,0.347669829
F1142_HUMAN,FAM114A2,1.5,1.22,0.144010279,0.496387554
NCPR_HUMAN,POR,0,0,0.142518767,0.447661718
PDCD5_HUMAN,PDCD5,0,0,0.141503251,0.254698951
MRP_HUMAN,MARCKSL1,0,0,0.141422246,0.300551229
RAB10_HUMAN,RAB10,17.98,4.24,0.141353099,0.652311409
,,,,,
SNX9_HUMAN,SNX9,1.17,1.08,0.141059356,0.490674277
CCD43_HUMAN,CCDC43,2.51,1.58,0.140990175,-0.484515844
PABP1_HUMAN,PABPC1,0,0,0.140558298,-0.346635207
TM87A_HUMAN,TMEM87A,2.98,1.73,0.138493445,-0.555513466
GRP75_HUMAN,HSPA9,8.24,2.87,0.135877198,0.52838052
ATX2L_HUMAN,ATXN2L,3.57,1.89,0.135016692,-0.47138015
HNRPU_HUMAN,HNRNPU,4.06,2.01,0.134181571,0.451716393
GORS2_HUMAN,GORASP2,1.71,1.31,0.132764796,-0.458706874
NAT10_HUMAN,NAT10,4.18,2.04,0.131823502,0.506166554
41_HUMAN,EPB41,5.51,2.35,0.130693301,0.558931207
ANK3_HUMAN,ANK3,0,0,0.130443155,-0.306113045
CHD8_HUMAN,CHD8,7.22,2.69,0.129261075,0.705695674
E41L2_HUMAN,EPB41L2,5.15,2.27,0.12899473,0.411014437
MSH6_HUMAN,MSH6,1.33,1.15,0.128834256,-0.481670668
DDX18_HUMAN,DDX18,4.54,2.13,0.128288279,0.553895626
RL13_HUMAN,RPL13,3.01,1.73,0.128086983,0.19965768
IMB1_HUMAN,KPNB1,0,0,0.127089334,-0.432903266
BRCA2_HUMAN,BRCA2,0,0,0.126427326,0.338999382
RABL6_HUMAN,RABL6,2.89,1.7,0.125841465,0.442910788
CDKAL_HUMAN,CDKAL1,0.91,0.95,0.125363027,0.406610501
SEM4C_HUMAN,SEMA4C,0.97,0.99,0.12388212,-0.386715355
RL3_HUMAN,RPL3,1.65,1.28,0.122798347,-0.40491422
ELYS_HUMAN,AHCTF1,0,0,0.122649775,-0.234653929
SNP29_HUMAN,SNAP29,4.11,2.03,0.121930599,0.372647411
H2A1J_HUMAN,HIST1H2AJ,0,0,0.121623655,0.336298625
RL11_HUMAN,RPL11,2.69,1.64,0.12138003,-0.2674053
FKBP4_HUMAN,FKBP4,1.47,1.21,0.120794911,-0.393518976
WDR44_HUMAN,WDR44,5.02,2.24,0.119522976,0.430462531
PKN2_HUMAN,PKN2,6.15,2.48,0.119406199,0.419669721
RUXE_HUMAN,SNRPE,0,0,0.119009841,-0.281848392
F171B_HUMAN,FAM171B,0,0,0.118897412,0.320146537
GOGA4_HUMAN,GOLGA4,7.35,2.71,0.11857347,0.654372113
LTN1_HUMAN,LTN1,0.93,0.96,0.118490124,-0.366302826
ESF1_HUMAN,ESF1,0,0,0.116611007,-0.312389062
KNL1_HUMAN,KNL1,21.53,4.64,0.115576317,0.517297073
ARPIN_HUMAN,ARPIN,1.67,1.29,0.115434796,-0.417523366
RL17_HUMAN,RPL17,3.81,1.95,0.114865712,-0.121728777
AFAD_HUMAN,AFDN,11.4,3.38,0.114758525,0.461690855
XPO5_HUMAN,XPO5,0,0,0.114685561,-0.148329777
CUL4B_HUMAN,CUL4B,0,0,0.114301861,-0.161989248
PCNA_HUMAN,PCNA,1.9,1.38,0.113223517,0.260111311
NP1L4_HUMAN,NAP1L4,0,0,0.113145992,0.334863039
RS6_HUMAN,RPS6,5.37,2.32,0.113057695,0.144983747
ELP4_HUMAN,ELP4,0,0,0.110975752,-0.239955482
JAK1_HUMAN,JAK1,3.73,1.93,0.108145499,0.360451848
EF1A3_HUMAN,EEF1A1P5,0,0,0.108099246,-0.134718805
SMG7_HUMAN,SMG7,3.13,1.77,0.107973042,0.371214969
S38A1_HUMAN,SLC38A1,1.98,1.41,0.10700471,0.49892741
UN45A_HUMAN,UNC45A,3.7,1.92,0.106882464,-0.464027381
NASP_HUMAN,NASP,1.64,1.28,0.104733008,0.385929731
HS90B_HUMAN,HSP90AB1,5.33,2.31,0.1043387,-0.19971592
S23IP_HUMAN,SEC23IP,0,0,0.104029331,0.308190964
SNX2_HUMAN,SNX2,2.56,1.6,0.103653936,-0.23425185
PKHF1_HUMAN,PLEKHF1,0,0,0.103273516,-0.240878927
CTND1_HUMAN,CTNND1,1.3,1.14,0.102590561,0.415447787
LSG1_HUMAN,LSG1,1.44,1.2,0.102053739,-0.235308917
STX5_HUMAN,STX5,1.97,1.4,0.10099428,0.41416852
TLN1_HUMAN,TLN1,6.97,2.64,0.100292439,0.390103898
DSG2_HUMAN,DSG2,0.96,0.98,0.100222387,-0.334253779
AKA12_HUMAN,AKAP12,3.92,1.98,0.098621264,0.434542866
SPCS2_HUMAN,SPCS2,0,0,0.098170563,-0.223732522
DVL3_HUMAN,DVL3,5.01,2.24,0.097411039,0.37040774
ZYX_HUMAN,ZYX,1.63,1.28,0.096673422,-0.256046907
MBB1A_HUMAN,MYBBP1A,8.38,2.9,0.095682072,0.15544186
NB5R1_HUMAN,CYB5R1,1.55,1.25,0.093574942,0.338499801
GGYF2_HUMAN,GIGYF2,5.78,2.4,0.093519253,0.339792959
RS13_HUMAN,RPS13,2.02,1.42,0.092684379,-0.342996681
CHD6_HUMAN,CHD6,3.22,1.79,0.092493054,0.159439639
RBP1_HUMAN,RALBP1,1.34,1.16,0.091448877,0.362347153
ARFG3_HUMAN,ARFGAP3,1.37,1.17,0.090675597,0.23856914
NACAM_HUMAN,NACA,0,0,0.089902918,-0.344807751
E41L3_HUMAN,EPB41L3,4.18,2.04,0.089335849,-0.298347065
PCCA_HUMAN,PCCA,12.63,3.55,0.088884937,0.479033056
NDKB_HUMAN,NME2,0,0,0.088875261,0.332356363
E2AK3_HUMAN,EIF2AK3,0,0,0.087976299,0.224359236
NUMBL_HUMAN,NUMBL,0,0,0.087752726,0.265283129
DLGP5_HUMAN,DLGAP5,1.21,1.1,0.087459324,-0.228978763
TECR_HUMAN,TECR,3.21,1.79,0.087158707,-0.371816635
ACTG_HUMAN,ACTG1,0,0,0.086609423,0.204134851
RRP1_HUMAN,RRP1,2.79,1.67,0.086320966,0.290248943
ETFA_HUMAN,ETFA,4.18,2.04,0.086226821,0.342247789
MPRI_HUMAN,IGF2R,3.43,1.85,0.085487715,-0.368916386
ATPB_HUMAN,ATP5F1B,3.24,1.8,0.085381919,-0.237866888
CE170_HUMAN,CEP170,2.23,1.49,0.084910542,-0.413290648
GPTC4_HUMAN,GPATCH4,3.39,1.84,0.084131159,0.26154986
RSBN1_HUMAN,RSBN1,0,0,0.083383815,0.188211801
RS27_HUMAN,RPS27,2.92,1.71,0.083164794,0.154680684
NDUA4_HUMAN,NDUFA4,1.08,1.04,0.083120911,0.25657679
DPYL4_HUMAN,DPYSL4,0,0,0.082391232,0.185453307
TEX2_HUMAN,TEX2,10.83,3.29,0.081419228,0.213171029
MTFR1_HUMAN,MTFR1,2.62,1.62,0.081329256,-0.295887869
RAB5A_HUMAN,RAB5A,0,0,0.080510769,-0.46959321
TB182_HUMAN,TNKS1BP1,2.21,1.49,0.080206983,0.133364336
DDX17_HUMAN,DDX17,0,0,0.077836368,0.249264459
TCPQ_HUMAN,CCT8,8.22,2.87,0.077740044,-0.159876733
NUDC3_HUMAN,NUDCD3,0,0,0.077284366,0.153039824
RS16_HUMAN,RPS16,3.93,1.98,0.077147559,-0.112354315
RS8_HUMAN,RPS8,3.46,1.86,0.075871817,0.100775917
GNL3_HUMAN,GNL3,8.94,2.99,0.075561426,0.094466023
USO1_HUMAN,USO1,0,0,0.075552286,-0.16364653
IF4A1_HUMAN,EIF4A1,0,0,0.075494295,-0.258638718
PTSS1_HUMAN,PTDSS1,1.5,1.23,0.075353449,0.205335689
DEN4C_HUMAN,DENND4C,3.09,1.76,0.074643162,0.31542327
DNJB1_HUMAN,DNAJB1,0,0,0.072895818,-0.262795298
PYRG1_HUMAN,CTPS1,3,1.73,0.072849836,0.301653532
S26A6_HUMAN,SLC26A6,1.45,1.2,0.072696825,-0.191100606
COPD_HUMAN,ARCN1,0,0,0.072491756,0.248045352
CHD4_HUMAN,CHD4,3.68,1.92,0.072291592,0.317433747
RL18_HUMAN,RPL18,4.19,2.05,0.071626581,0.251941009
COPA_HUMAN,COPA,1.02,1.01,0.070960947,0.180112743
CLCC1_HUMAN,CLCC1,3.04,1.74,0.070607097,0.303239139
PDXD1_HUMAN,PDXDC1,0.83,0.91,0.070508903,-0.250368934
LYPA2_HUMAN,LYPLA2,1.49,1.22,0.070447484,-0.250356542
CYBP_HUMAN,CACYBP,3.42,1.85,0.070087789,0.250176496
FAS_HUMAN,FASN,12.92,3.59,0.069598,-0.137328778
EXOC5_HUMAN,EXOC5,0,0,0.069438374,0.1163088
,,,,,
AMER1_HUMAN,AMER1,0,0,0.06823951,0.102995231
MAP4_HUMAN,MAP4,3.77,1.94,0.067876875,0.304361571
