Gene,log2_FoldChange,minus_log10_pvalue
MAP3K6,-0.2676,0.520856752
GPR3,0.3676,0.605373236
AHDC1,-0.05131,0.065501549
IFI6,-0.003837,0.006211186
FAM76A,0.06137,0.108239599
PPP1R8,0.06903,0.166597871
C1orf38,0.09121,0.127610612
RPA2,0.4128,0.784362437
SMPDL3B,0.04346,0.040195683
XKR8,-0.4483,0.646468441
EYA3,-0.08134,0.170696227
LOC653566,-0.06491,0.177897331
PTAFR,-0.1069,0.105019709
DNAJC8,0.01122,0.019996628
ATPIF1,-0.009436,0.023512463
SESN2,-0.1109,0.157453164
MED18,0.2435,0.524910197
PHACTR4,-0.09904,0.283829652
RCC1,-0.2192,0.422393323
SNHG3,-0.234,0.280668713
TRNAU1AP,0.2036,0.697669071
SNORD99,-0.1392,0.152921138
SNORA61,-0.242,0.274987275
SNORA44,-0.2967,0.347947152
SNORA16A,-0.0634,0.060031709
RAB42,-0.2044,0.244125144
TAF12,0.08297,0.22541005
RNU11,0.261,0.296107046
GMEB1,0.1177,0.319936573
YTHDF2,0.0677,0.161150909
EPB41,0.04336,0.057396751
SRSF4,-0.05449,0.074894273
MECR,0.0631,0.088043811
PTPRU,-0.07934,0.09006974
MATN1,-0.006958,0.006740169
LOC100129196,-0.2982,0.352421446
LAPTM5,-0.1005,0.105960999
PUM1,0.008865,0.020815966
PRO0611,0.01894,0.017050711
NKAIN1,0.1101,0.120445399
SNRNP40,0.1092,0.354577731
ZCCHC17,0.2449,0.871600731
FABP3,0.2188,0.354283061
SERINC2,-0.2287,0.534617149
HCRTR1,-0.1261,0.13834613
PEF1,0.03116,0.125750177
BAI2,0.3045,0.515130967
PTP4A2,0.008241,0.023191663
KHDRBS1,-0.07661,0.193955764
TMEM39B,-0.1011,0.296450702
KPNA6,0.06773,0.238598443
TXLNA,-0.1393,0.391260081
CCDC28B,0.2146,0.61690307
IQCC,-0.1511,0.305570309
DCDC2B,-0.3043,0.391367011
TMEM234,-0.322,0.937418016
EIF3I,-0.1069,0.218891164
MTMR9LP,-0.2919,0.43450637
FAM167B,-0.02856,0.027241916
MARCKSL1,0.2292,0.710411047
BSDC1,0.1633,0.250263684
ZBTB8B,0.3278,0.872571222
ZBTB8A,0.09584,0.224826615
ZBTB8OS,0.1755,0.295677859
RBBP4,-0.06773,0.130064589
SYNC,-0.3456,0.427360703
KIAA1522,-0.1412,0.356744775
YARS,0.003852,0.005462896
S100PBP,-0.2675,0.535659515
HPCA,0.1693,0.181708109
TMEM54,-0.4793,0.705974906
RNF19B,0.04485,0.068287933
AK2,-0.329,0.931814138
ADC,-0.4313,0.937794191
TRIM62,-0.1885,0.360912129
ZNF362,-0.1232,0.470569646
PHC2,-0.006891,0.015832873
ZSCAN20,0.01146,0.017276612
CSMD2,-0.183,0.195111255
C1orf94,-0.2275,0.285586408
GJB5,0.2927,0.344189506
C1orf212,0.08359,0.106682188
DLGAP3,0.3456,0.485452247
LOC653160,-0.1382,0.141944282
ZMYM6NB,-0.5514,0.845271793
ZMYM6,0.1635,0.533725678
ZMYM1,-0.02179,0.031563752
SFPQ,0.1171,0.143936047
ZMYM4,-0.0687,0.365119859
KIAA0319L,0.05205,0.225556031
PSMB2,-0.01835,0.043591429
C1orf216,0.3204,0.489320969
CLSPN,-0.1817,0.222355722
EIF2C4,0.2374,0.907279355
EIF2C1,0.0341,0.067932308
EIF2C3,-0.1813,0.259874263
TEKT2,-0.02068,0.022413562
ADPRHL2,0.1023,0.264960295
TRAPPC3,0.08946,0.210630846
MAP7D1,0.08699,0.155522824
THRAP3,-0.04112,0.165770097
SH3D21,-0.3189,0.591420875
STK40,0.1094,0.305745888
LSM10,0.07513,0.153848523
OSCP1,0.1354,0.185486048
MRPS15,-0.1133,0.250572901
GRIK3,0.4096,0.658565475
LOC728431,-0.2349,0.271971046
MEAF6,0.06877,0.093395628
SNIP1,-0.0185,0.054236077
DNALI1,0.1199,0.163865851
GNL2,-0.1047,0.191653964
RSPO1,-0.05016,0.048128443
C1orf109,0.1389,0.446116973
EPHA10,0.1262,0.133535434
MANEAL,0.3578,0.793713956
YRDC,0.1468,0.286173576
C1orf122,0.09911,0.345246067
MTF1,0.136,0.546834607
INPP5B,-0.1958,0.520568663
SF3A3,-0.02345,0.054629906
UTP11L,0.01611,0.026779753
LOC339442,0.1913,0.205024256
RRAGC,0.01533,0.023558311
MYCBP,-0.2627,0.306976932
RHBDL2,-0.01615,0.015697768
AKIRIN1,0.04483,0.145815456
NDUFS5,-0.1351,0.348721986
MACF1,0.04655,0.093180285
KIAA0754,0.2342,0.42044504
PPIEL,-0.3649,0.454692884
SNORA55,-0.3664,0.491604967
PPIE,0.004154,0.012959713
BMP8B,0.3108,0.423889106
TRIT1,-0.1645,0.326150023
MFSD2A,0.2573,0.548827842
CAP1,-0.05003,0.099196065
PPT1,-0.1442,0.33970384
RLF,0.08214,0.227091805
ZMPSTE24,0.02719,0.032264868
COL9A2,-0.2726,0.568797115
ZNF643,0.1359,0.237246435
ZNF642,0.1422,0.192735645
DEM1,0.4045,0.597394758
ZNF684,0.04899,0.073297506
RIMS3,0.1301,0.1640559
LOC100130557,0.05171,0.059882133
NFYC,0.1442,0.631713115
KCNQ4,0.2233,0.527097348
CTPS,-0.01847,0.036164969
LOC100507178,-0.06679,0.064089864
SLFNL1,0.3725,0.473660723
SCMH1,-0.1938,0.411504199
FOXJ3,0.04858,0.075410614
RIMKLA,0.3102,0.491201035
ZMYND12,0.419,0.690156995
CCDC30,0.04765,0.05596172
PPIH,-0.1654,0.321845962
YBX1,-0.02299,0.033013975
CLDN19,-0.03995,0.037583307
C1orf50,0.07704,0.171468993
CCDC23,-0.04354,0.057694247
ERMAP,-0.4063,0.657379957
ZNF691,0.1837,0.322940823
SLC2A1,0.09976,0.113114641
FLJ32224,0.2039,0.262727823
FAM183A,0.2624,0.298086789
EBNA1BP2,0.1654,0.199626645
WDR65,0.2447,0.275396485
TMEM125,0.1781,0.191181575
TIE1,-0.6186,0.943857738
MPL,0.1675,0.176134691
ELOVL1,-0.39,0.698752911
MED8,-0.1716,0.258533238
SZT2,0.05813,0.1125515
PTPRF,0.06253,0.124186611
KDM4A,0.1165,0.46130062
LOC100132774,-0.208,0.314975215
ST3GAL3,-0.00325,0.008153946
ARTN,-0.2364,0.278106984
IPO13,0.1436,0.452225295
DPH2,0.1502,0.384049948
ATP6V0B,0.1425,0.220547817
B4GALT2,0.09898,0.39870069
CCDC24,-0.1989,0.315603522
SLC6A9,-0.1496,0.231954186
KLF17,-0.1567,0.180982801
DMAP1,0.05846,0.173990022
ERI3,0.0825,0.211760903
RNF220,0.03531,0.046917156
C1orf228,-0.04183,0.044793462
RPS8,-0.3985,0.853251986
SNORD55,-0.2151,0.234033575
SNORD38A,-0.5417,0.81276138
BEST4,0.1599,0.208169052
PLK3,0.24,0.367745223
TCTEX1D4,0.5369,0.782779344
EIF2B3,0.03094,0.063838259
HECTD3,0.08416,0.423543468
UROD,-0.151,0.234927799
ZSWIM5,0.2044,0.513853003
LOC400752,0.3591,0.732124581
HPDL,0.09858,0.114582235
MUTYH,-0.2166,0.467372999
TOE1,0.1157,0.256176778
TESK2,-0.3971,0.625068446
CCDC163P,0.3017,0.393403691
MMACHC,0.1022,0.121478204
PRDX1,-0.1406,0.271321633
AKR1A1,-0.1547,0.329846955
NASP,-0.09816,0.144783805
CCDC17,-0.07802,0.075049111
GPBP1L1,-0.193,0.570570736
RPS15AP10,0.03442,0.033858267
TMEM69,-0.01566,0.029095502
IPP,-0.1458,0.256960845
PIK3R3,0.1159,0.29191919
TSPAN1,0.03798,0.041818502
POMGNT1,0.03838,0.125692167
LURAP1,-0.2462,0.321572678
RAD54L,-0.3877,0.606424797
LRRC41,-0.136,0.53165267
UQCRH,-0.06963,0.111876693
NSUN4,-0.1671,0.383104574
FAAH,0.04475,0.065198658
LOC729041,0.08553,0.085339569
LOC100507423,0.03179,0.030630688
KNCN,0.08536,0.082127045
ATPAF1,0.03928,0.102922997
ATPAF1-AS1,-0.0167,0.015337694
CYP4X1,0.01505,0.013496985
TAL1,0.4515,0.626168855
STIL,-0.4378,0.90274269
CMPK1,0.002663,0.004935466
FOXE3,0.1618,0.187420845
SKINTL,-0.4838,0.675717545
SLC5A9,-0.4153,0.538201442
SPATA6,0.03513,0.038958783
BEND5,0.1585,0.413525221
ELAVL4,0.3483,0.460171442
DMRTA2,-0.315,0.375717904
FAF1,-0.1067,0.21903497
RNF11,0.1349,0.311135432
TTC39A,-0.08441,0.084336396
EPS15,0.002603,0.004277078
OSBPL9,0.009802,0.026364227
NRD1,-0.2377,0.6712128
RAB3B,-0.0175,0.021089423
TXNDC12,-0.02228,0.051195954
KTI12,0.1792,0.437707136
BTF3L4,0.2168,0.603975103
ZFYVE9,0.04502,0.112157735
CC2D1B,-0.09307,0.167235695
ORC1,-0.3076,0.436400271
PRPF38A,0.03056,0.10812817
ZCCHC11,-0.03419,0.040576978
GPX7,-0.1119,0.118843679
FAM159A,-0.1829,0.205790884
SELRC1,0.2414,0.83386603
ZYG11B,0.09452,0.241693818
ZYG11A,-0.2246,0.247490599
ECHDC2,-0.5009,0.782252927
SCP2,-0.1101,0.160459107
C1orf123,0.1003,0.148925195
MAGOH,-0.02767,0.042296958
LOC100507564,-0.1281,0.150826367
LRP8,0.28,0.696587929
GLIS1,-0.3639,0.455683858
TMEM48,-0.06572,0.093718844
YIPF1,0.01441,0.028353118
HSPB11,0.007812,0.010594682
LRRC42,-0.1538,0.446845452
TMEM59,0.01941,0.043975718
TCEANC2,-0.0232,0.031984286
CDCP2,-0.0698,0.066715228
CYB5RL,-0.06916,0.139661993
MRPL37,-0.1269,0.464579282
ACOT11,-0.5114,0.774949304
TTC4,0.07388,0.122168109
PARS2,0.1151,0.255863548
TTC22,-0.342,0.473402291
C1orf177,0.07949,0.109411332
USP24,0.06589,0.184156709
LOC100507634,0.24,0.379551615
PPAP2B,-0.1762,0.248797905
PRKAA2,-0.1939,0.418847108
C1orf168,0.5175,0.729787145
DAB1,0.4705,0.964970718
OMA1,-0.02614,0.028863371
MYSM1,-0.2293,0.293452897
LOC100131060,-0.0983,0.098378236
FGGY,-0.2818,0.551912333
HOOK1,0.02931,0.041006335
NFIA,-0.1463,0.201211286
TM2D1,-0.0315,0.08772479
INADL,0.1713,0.293965339
USP1,-0.2425,0.537003388
DOCK7,-0.1245,0.244887734
ANGPTL3,-0.2852,0.366733589
ATG4C,-0.09397,0.281083314
FOXD3,0.4643,0.630227711
ALG6,-0.1416,0.235226283
ITGB3BP,-0.3425,0.84863015
EFCAB7,0.02002,0.058289851
DLEU2L,-0.46,0.635449005
PGM1,-0.3098,0.503347061
CACHD1,-0.0343,0.06008158
RAVER2,-0.1018,0.459170186
JAK1,-0.1431,0.45432185
AK4,-0.05732,0.061630403
DNAJC6,0.196,0.31309573
LEPROT,-0.1515,0.219682688
LEPR,-0.4781,0.67943832
PDE4B,0.3261,0.7044329
SGIP1,0.2435,0.306185146
TCTEX1D1,0.4913,0.68655463
WDR78,0.1533,0.162537829
MIER1,-0.03229,0.095771484
SLC35D1,-0.01162,0.029606628
IL12RB2,-0.2784,0.38007229
SERBP1,-0.1613,0.758702613
GADD45A,-0.004474,0.005418919
GNG12,-0.1591,0.211902367
DIRAS3,0.2673,0.308123177
WLS,-0.2853,0.392759496
RPE65,0.1263,0.130123187
PIN1P1,-0.1005,0.103584024
LRRC40,0.2688,0.504872119
SRSF11,-0.2348,0.339039708
ANKRD13C,-0.02034,0.041866324
HHLA3,-0.1721,0.317043074
CTH,0.07118,0.107627093
PTGER3,0.5548,0.812479279
ZRANB2-AS1,0.3324,0.404393565
ZRANB2,0.03679,0.099687503
MIR186,-0.1186,0.1195866
ZRANB2-AS2,0.05604,0.053154886
NEGR1,-0.3013,0.547140664
LRRIQ3,0.06132,0.058240186
FPGT,-0.05746,0.054925512
CRYZ,0.4537,0.64054398
TYW3,0.3631,0.533725678
SLC44A5,0.1428,0.21445663
ACADM,0.04012,0.044841613
RABGGTB,-0.161,0.211054273
SNORD45C,-0.139,0.169026603
ST6GALNAC3,-0.4927,0.885389016
ST6GALNAC5,0.1651,0.326242063
PIGK,0.006961,0.010105436
AK5,0.3536,0.542875374
ZZZ3,-0.03562,0.128427064
USP33,0.1346,0.417482116
FAM73A,-0.03272,0.058041583
FUBP1,-0.1186,0.185486048
DNAJB4,-0.1596,0.303643611
GIPC2,0.2565,0.290560426
PTGFR,-0.455,0.609241471
IFI44L,-0.5466,0.871923987
IFI44,-0.4368,0.618884919
LPHN2,0.04937,0.092427421
TTLL7,-0.1518,0.397180658
PRKACB,0.1811,0.450506287
SAMD13,0.06015,0.058985756
DNASE2B,0.3902,0.495801081
RPF1,-0.003858,0.006519681
CTBS,-0.2991,0.573163546
SSX2IP,-0.3706,0.796151536
LPAR3,0.183,0.196679476
WDR63,0.3069,0.363111093
C1orf52,0.02248,0.033858267
BCL10,0.07791,0.135429593
LOC646626,0.5198,0.73400363
DDAH1,-0.1353,0.300856313
ZNHIT6,0.01807,0.037678027
COL24A1,-0.2926,0.43062609
ODF2L,-0.008993,0.015247722
SH3GLB1,0.0153,0.043063586
Sep-15,0.01019,0.016328617
HS2ST1,0.01169,0.015922966
LOC339524,-0.2408,0.274088368
PKN2,-0.1479,0.294906389
GTF2B,0.1605,0.557833914
RBMXL1,0.1088,0.320844759
GBP5,-0.4105,0.544241797
LRRC8B,0.08566,0.159580222
FLJ27354,0.2016,0.232621476
LRRC8C,-0.1541,0.255941834
LRRC8D,0.05975,0.098541679
GEMIN8P4,0.101,0.13388996
ZNF326,-0.04028,0.079667928
BARHL2,0.323,0.406824737
ZNF644,0.06798,0.13733205
HFM1,0.3197,0.660747366
CDC7,-0.04126,0.062431961
HSP90B3P,-0.3263,0.561457651
EPHX4,-0.3192,0.404393565
BTBD8,0.03305,0.039814723
GLMN,-0.0528,0.078990199
RPAP2,0.09584,0.286761538
GFI1,-0.01486,0.01331782
EVI5,-0.06336,0.097453221
RPL5,-0.3451,0.651889932
FAM69A,0.05574,0.102812923
MTF2,-0.02888,0.033811319
TMED5,-0.07566,0.185419484
LOC100131564,0.3781,0.509760515
DR1,0.1275,0.197568374
FNBP1L,0.1346,0.335640125
BCAR3,-0.08264,0.108741383
MIR760,0.4423,0.664341548
DNTTIP2,0.2131,0.600845666
GCLM,-0.02493,0.029932203
ABCA4,-0.5734,0.845271793
ABCD3,-0.06876,0.077585976
F3,-0.394,0.501689446
LOC729970,-0.1718,0.359419194
ALG14,0.09738,0.13053359
TMEM56,-0.2598,0.400335221
TMEM56-RWDD3,0.1373,0.139003563
RWDD3,-0.1644,0.206279443
PTBP2,0.2591,0.4165745
MIR137HG,0.1755,0.1856858
LOC729987,-0.1581,0.16653414
SNX7,-0.1611,0.256176778
LPPR4,-0.0787,0.078833949
AGL,-0.1719,0.247797847
SLC35A3,0.1178,0.208309351
HIAT1,-0.2006,0.711303739
SASS6,0.06211,0.095771484
CCDC76,-0.1363,0.235823868
LRRC39,0.06762,0.080660363
DBT,-0.05359,0.111034656
RTCD1,-0.02132,0.03277974
CDC14A,-0.1417,0.250572901
GPR88,0.3454,0.463189134
VCAM1,0.1892,0.236871623
EXTL2,0.08143,0.106349183
SLC30A7,-0.09907,0.221993539
DPH5,-0.1394,0.31202538
OLFM3,0.2347,0.317313522
RNPC3,-0.2178,0.298950369
AMY2B,-0.4037,0.518270803
LOC648740,-0.1606,0.181312337
LOC100129138,-0.4656,0.835349784
PRMT6,-0.06629,0.066209116
NTNG1,-0.2949,0.603103551
VAV3,0.175,0.220115037
FAM102B,-0.1412,0.355167671
HENMT1,0.5551,0.847711656
STXBP3,-0.08987,0.2142432
AKNAD1,0.07541,0.071962794
GPSM2,-0.0869,0.169283051
CLCC1,-0.2593,0.863596552
TAF13,0.2279,0.53253989
TMEM167B,0.0814,0.15558496
SCARNA2,0.0898,0.087087449
C1orf194,0.2116,0.320299619
KIAA1324,0.2534,0.418391634
SARS,0.05935,0.084494638
CELSR2,0.2616,0.554551486
SORT1,0.0107,0.017367006
PSMA5,0.1104,0.253988892
SYPL2,-0.2016,0.262966469
ATXN7L2,-0.06607,0.078157519
CYB561D1,0.1218,0.361710465
AMIGO1,-0.03783,0.05507339
GPR61,0.3023,0.522878745
GNAI3,-0.04507,0.143331516
AMPD2,-0.0439,0.075565636
GSTM4,-0.3959,0.818442226
GSTM1,-0.4349,0.601712695
GSTM5,0.3114,0.392223396
GSTM3,-0.22,0.459420283
AHCYL1,-0.0417,0.100453069
FAM40A,0.193,0.720561212
ALX3,0.09886,0.113622093
UBL4B,-0.04785,0.047401265
SLC6A17,0.3395,0.513427849
KCNC4,0.268,0.335640125
LOC440600,0.23,0.271565049
RBM15,-0.1593,0.189834715
SLC16A4,-0.2042,0.284748971
HBXIP,0.05595,0.105296347
PROK1,-0.4436,0.588548658
KCNA2,0.2025,0.239803771
KCNA3,0.2307,0.269944848
LRIF1,0.2489,0.69572495
DRAM2,-0.1908,0.268733651
CEPT1,-0.1574,0.329939783
DENND2D,-0.04749,0.044071843
C1orf88,0.225,0.264321274
WDR77,-0.01256,0.01407978
C1orf162,0.1673,0.178683029
RAP1A,-0.1029,0.344765493
FAM212B,-0.0603,0.06363708
LOC100506343,0.2016,0.496209317
DDX20,0.2357,0.645891561
KCND3,-0.1179,0.143875556
CTTNBP2NL,0.05815,0.195587941
WNT2B,0.222,0.272296116
ST7L,0.2127,0.337242168
CAPZA1,0.002319,0.004803708
RHOC,-0.3176,0.712422191
PPM1J,0.1907,0.245345931
AKR7A2P1,-0.1799,0.297741837
LRIG2,0.07561,0.0970186
MAGI3,0.2804,0.955068454
PHTF1,-0.1251,0.198047765
RSBN1,0.009719,0.018226681
LOC100287722,-0.05469,0.052713355
BCL2L15,0.2884,0.353792388
AP4B1,-0.04259,0.075410614
DCLRE1B,0.06542,0.09420412
HIPK1,-0.00847,0.019814763
SYT6,-0.119,0.118957892
TRIM33,-0.044,0.150703459
NRAS,-0.009689,0.015877917
SIKE1,0.01296,0.029699625
TSHB,0.51,0.755970411
TSPAN2,0.04711,0.051000546
VANGL1,-0.2956,0.358724243
CASQ2,-0.05275,0.049148541
NHLH2,0.2342,0.260190401
SLC22A15,-0.1175,0.133240217
ATP1A1,-0.1137,0.180258703
ATP1A1OS,-0.2342,0.31229272
CD58,-0.1406,0.191114133
IGSF3,0.2116,0.408712735
PTGFRN,-0.3006,0.472627917
CD101,-0.193,0.236272596
TTF2,-0.512,0.916855857
TRIM45,-0.3107,0.424465782
VTCN1,0.1459,0.212185433
MAN1A2,-0.02562,0.049732532
GDAP2,0.05807,0.10662667
WDR3,0.1111,0.220764368
SPAG17,-0.006716,0.006343371
TBX15,-0.4882,0.71942163
WARS2,-0.1818,0.356942316
HSD3BP4,-0.1232,0.12720296
LOC644242,-0.1238,0.123666671
ZNF697,0.3234,0.659754238
FAM72B,-0.6016,0.907981529
HIST2H2BA,-0.1223,0.197499932
EMBP1,-0.4249,0.655607726
LOC100286793,-0.028,0.025718641
FAM72D,-0.33,0.397940009
SRGAP2P2,-0.05539,0.084652938
LOC728875,0.05791,0.054728418
PFN1P2,-0.1238,0.138167002
NBPF9,-0.09971,0.120674699
LOC653513,0.1101,0.10985854
PDE4DIP,0.08519,0.116338565
SEC22B,0.03037,0.042488489
TXNIP,-0.1077,0.229221604
POLR3GL,-0.0212,0.07007044
ANKRD34A,0.429,0.796151536
LIX1L,-0.226,0.557677044
RBM8A,0.08575,0.342275046
GNRHR2,0.07266,0.144359719
PEX11B,0.2324,0.807711387
ITGA10,-0.07072,0.068440433
ANKRD35,-0.2796,0.327255802
PIAS3,-0.2096,0.580209414
NUDT17,-0.1254,0.213745604
POLR3C,-0.07109,0.130885673
RNF115,-0.06121,0.228339041
CD160,0.3568,0.628009089
PDZK1,-0.2632,0.302683458
GPR89A,-0.1133,0.136974704
LOC728989,0.1722,0.184953824
FMO5,-0.5397,0.830913643
LOC100289211,0.1216,0.128018646
BCL9,0.04099,0.147093241
ACP6,0.0673,0.110922507
GJA5,-0.5254,0.747632486
GPR89B,-0.372,0.639595945
NBPF14,-0.2496,0.280254507
NBPF15,-0.297,0.518987579
LOC645166,-0.3847,0.583193128
LOC388692,-0.01988,0.021956506
FAM91A2,-0.04305,0.039862325
HIST2H2BC,-0.2807,0.324588306
BOLA1,0.04743,0.050317309
SV2A,0.2258,0.437469231
SF3B4,0.07148,0.200383796
OTUD7B,-0.3266,0.769806621
VPS45,0.1001,0.522300072
PLEKHO1,0.1456,0.440332722
ANP32E,-0.2264,0.807711387
CA14,-0.1593,0.252044693
APH1A,-0.1123,0.332173621
MRPS21,0.02548,0.077949598
RPRD2,0.1104,0.304518324
TARS2,0.1747,0.879097182
ENSA,0.03247,0.081917215
GOLPH3L,-0.2229,0.608006928
CTSK,-0.4857,0.7000571
ARNT,-0.4054,0.796967113
SETDB1,-0.03656,0.049732532
ANXA9,0.03317,0.055813539
FAM63A,-0.006117,0.012512494
BNIPL,-0.01092,0.009749967
C1orf56,0.09268,0.125634164
CDC42SE1,0.05275,0.085022528
MLLT11,0.3581,0.872895202
GABPB2,-0.395,0.937418016
TNFAIP8L2,-0.01031,0.010683695
LYSMD1,0.09498,0.134067332
SCNM1,-0.1368,0.200866307
TMOD4,-0.2855,0.341320971
VPS72,0.03104,0.054383721
PIP5K1A,-0.003642,0.009572342
PSMD4,-0.004009,0.007844289
ZNF687,0.1136,0.391580949
PI4KB,0.1193,0.317313522
RFX5,-0.08125,0.18428946
PSMB4,-0.05736,0.134718315
POGZ,-0.1437,0.24672343
SNX27,0.03374,0.086292086
CELF3,0.1902,0.21417208
RIIAD1,0.1313,0.154220033
MRPL9,-0.1108,0.294392837
OAZ3,0.2757,0.482540173
TDRKH,0.207,0.706416487
LOC100132111,-0.3889,0.492819023
THEM5,-0.4009,0.514278574
THEM4,0.01293,0.012736046
S100A10,-0.5461,0.828566099
TCHH,0.5204,0.761201437
FLG,0.1271,0.157765314
S100A6,-0.1666,0.20155654
S100A2,-0.3968,0.506402551
S100A16,0.1666,0.193074223
S100A13,0.1105,0.178159073
S100A1,0.04739,0.051880576
SNAPIN,0.1494,0.255003326
ILF2,0.0162,0.035221978
NPR1,-0.3392,0.463062977
INTS3,-0.1888,0.465085896
SLC27A3,0.1685,0.397289055
CRTC2,-0.3142,0.480172006
SLC39A1,-0.09824,0.159580222
CREB3L4,-0.05934,0.087990624
JTB,-0.1048,0.238222462
RPS27,-0.1409,0.148313685
TPM3,-0.07204,0.124244421
C1orf189,0.2144,0.244125144
C1orf43,-0.05709,0.086769129
UBAP2L,-0.08785,0.297052754
HAX1,0.008443,0.016915227
ATP8B2,-0.07982,0.087777943
IL6R,0.1576,0.19064233
SHE,-0.07026,0.069713353
UBE2Q1,0.0747,0.313006434
ADAR,0.05422,0.153230046
KCNN3,0.2892,0.460422117
PMVK,0.1449,0.236572006
PBXIP1,-0.02476,0.028863371
PYGO2,-0.06746,0.310247304
FLAD1,0.08714,0.239502125
LENEP,0.1979,0.228045251
ZBTB7B,-0.191,0.264960295
DCST2,-0.0387,0.038436538
DCST1,0.1202,0.121708051
LOC100505666,0.03325,0.04440845
ADAM15,-0.04185,0.053498609
EFNA4,-0.3275,0.482540173
EFNA3,-0.184,0.364114315
SLC50A1,-0.4242,0.76700389
DPM3,-0.0705,0.172307711
KRTCAP2,0.02621,0.062131203
TRIM46,0.1396,0.202178689
MUC1,-0.1744,0.217026005
MIR92B,0.1946,0.231213953
THBS3,-0.2575,0.730020323
MTX1,0.04808,0.11356568
GBAP1,-0.04876,0.062281556
GBA,-0.14,0.200866307
FAM189B,-0.1407,0.351835221
SCAMP3,0.147,0.43628166
CLK2,-0.006823,0.0117979
FDPS,-0.1086,0.238974748
RUSC1-AS1,-0.1811,0.197431502
RUSC1,0.03069,0.033482824
LOC645676,-0.06801,0.078209514
MSTO1,0.01213,0.015697768
DAP3,-0.1498,0.413862975
MSTO2P,-0.1412,0.163802519
GON4L,0.02419,0.04982994
SYT11,0.1698,0.282828973
RIT1,-0.05054,0.096259059
KIAA0907,-0.02358,0.0258569
SCARNA4,-0.1013,0.113170995
SSR2,-0.2901,0.611721137
UBQLN4,0.1689,0.427128398
LAMTOR2,0.09809,0.187822226
RAB25,0.127,0.13200249
SEMA4A,0.1831,0.250882338
PMF1,-0.2027,0.663940722
BGLAP,0.1333,0.141462802
PAQR6,0.004637,0.004408676
SMG5,0.0234,0.03231165
TMEM79,-0.06386,0.146666895
C1orf85,-0.5126,0.898940645
VHLL,-0.5414,0.775985189
CCT3,-0.08086,0.149660145
C1orf182,-0.02084,0.019678414
RHBG,0.3456,0.502103257
C1orf61,0.3576,0.520568663
APOA1BP,0.07673,0.090230085
GPATCH4,0.05495,0.079042294
NES,0.2508,0.468521083
ISG20L2,0.1338,0.674074044
RRNAD1,0.0716,0.13715334
MRPL24,-0.08639,0.178355482
HDGF,-0.1299,0.221053272
PRCC,0.09153,0.302857874
SH2D2A,-0.4372,0.57741016
NTRK1,-0.3348,0.496209317
INSRR,-0.2756,0.317674381
LRRC71,0.4431,0.604848408
ARHGEF11,0.05016,0.100234198
MIR765,0.01067,0.01300446
ETV3,-0.09226,0.242148656
AIM2,0.2159,0.290984583
CADM3,0.3942,0.647046088
DUSP23,-0.156,0.201073261
SLAMF8,-0.4571,0.633017024
C1orf204,-0.4821,0.760700521
VSIG8,0.2361,0.271321633
CCDC19,0.2127,0.232028279
TAGLN2,0.2053,0.311847244
IGSF9,0.1496,0.252122294
PIGM,0.1389,0.309449538
KCNJ10,0.07331,0.083335535
ATP1A2,0.04146,0.050756409
CASQ1,0.04917,0.051195954
PEA15,0.2819,0.585026652
DCAF8,-0.04969,0.098214855
PEX19,0.01455,0.037488606
COPA,0.03676,0.068592986
SUMO1P3,0.1431,0.319392571
NCSTN,-0.09815,0.688882157
NHLH1,0.2426,0.27392513
VANGL2,0.09506,0.11673614
ITLN2,0.5651,0.825940192
F11R,-0.09865,0.117361638
USF1,0.2,0.677573948
PVRL4,0.3737,0.469800302
KLHDC9,0.01798,0.046917156
PFDN2,0.07728,0.127727154
DEDD,0.03451,0.075410614
UFC1,-0.1088,0.346787486
USP21,-0.103,0.144480844
PPOX,0.04628,0.08375667
B4GALT3,0.01385,0.018906577
ADAMTS4,0.3526,0.520712684
FCER1G,-0.04903,0.046820399
PCP4L1,0.4733,0.700274846
SDHC,0.04285,0.150334945
C1orf192,0.3507,0.486516043
RPL31P11,0.02708,0.024752059
FCRLB,0.07441,0.082389474
DUSP12,0.005777,0.008552402
ATF6,-0.008053,0.013990068
NOS1AP,0.1524,0.27457845
C1orf226,-0.1668,0.237471478
UAP1,-0.1896,0.508358207
HSD17B7,-0.03373,0.048176965
C1orf110,0.0582,0.055665408
RGS4,0.476,0.6767479
RGS5,-0.5736,0.931814138
NUF2,-0.4281,0.925915311
PBX1,-0.1279,0.33003263
LMX1A,0.3982,0.510182092
RXRG,0.08774,0.092158857
MGST3,0.153,0.264161666
ALDH9A1,-0.09195,0.133653577
LOC440700,-0.1724,0.183957659
TMCO1,0.1098,0.306624849
UCK2,0.02004,0.033013975
FAM78B,0.4091,0.599634727
TADA1,0.05354,0.085128182
ILDR2,-0.2589,0.327717375
MAEL,-0.218,0.240407691
GPA33,0.01531,0.014034922
CREG1,-0.1167,0.160899217
MPZL1,-0.1141,0.363612414
BRP44,0.06418,0.185486048
DCAF6,-0.03897,0.049878652
GPR161,0.07726,0.234778634
TIPRL,0.1876,0.562249437
SFT2D2,-0.3186,0.543482142
ANKRD36BP1,-0.2762,0.442252258
TBX19,-0.4493,0.665546249
ATP1B1,0.1564,0.291154362
NME7,0.2209,0.586030028
BLZF1,0.09001,0.201763824
